JOB TITLE,DESCRIPTION,INDUSTRY,SALARY,EXPERIENCE,JOB TYPE,GENDER,STREET,CITY,LISTED DATE,EXPIRES,URL,EMAIL
Required Maintenance Manager,Maintenance Manager Required : Civil Engineer with 03 years Experience in UAE and driving license Send your CV to info@citizengroup.ae, Fertilizer/Pesticides, Unspecified, 2 - 5 Years, Full Time, Any, Dubai, Dubai," February 17, 2019 3"," 26 days, 15 hours",https://buzzon.khaleejtimes.com/classifieds/required-maintenance-manager/,info@citizengroup.ae
Wanted Pest Control Engineer,1.Pest control Engineer Required :UAE driving license Dubai Municipality license holder Send your CV to info@citizengroup.ae, Fertilizer/Pesticides, Unspecified, 1 - 2 Years, Full Time, Any, Dubai, Dubai," February 17, 2019 3"," 26 days, 15 hours",https://buzzon.khaleejtimes.com/classifieds/wanted-pest-control-engineer/,info@citizengroup.ae
Accountant,"Job duties: \xe2\x80\xa2 Prepare reconciliation reports, accounts payable & account receivables. \xe2\x80\xa2 Prepare forms and manuals for accounting and bookkeeping personnel, and direct their work activities. \xe2\x80\xa2 Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting and other tax requirements. \xe2\x80\xa2 Report to management regarding the finances of establishment. \xe2\x80\xa2 Establish tables of accounts, and assign entries to proper accounts. Requirements: 2 \xe2\x80\x93 5 years of relevant experience. Male candidate preferred Accounting / Finance degree holder Email your updated resume to our email id \xe2\x80\x93 \xe2\x80\x98recruitment@dreuae.ae\xe2\x80\x99 with a subject line as \xe2\x80\x9cAccountant\xe2\x80\x9d", Real Estate, Unspecified, 2 - 5 Years, Full Time, Male, Shaikh Zayed Road, Dubai," February 17, 2019 3"," 26 days, 12 hours",https://buzzon.khaleejtimes.com/classifieds/accountant-3/,recruitment@dreuae.ae
** JOB OPPORTUNITY FOR HR RECRUITMENT OFFICER – Abu Dhabi (UAE) ̵...,"Job duties: \xe2\x80\xa2 Prepare reconciliation reports, accounts payable & account receivables. \xe2\x80\xa2 Prepare forms and manuals for accounting and bookkeeping personnel, and direct their work activities. \xe2\x80\xa2 Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting and other tax requirements. \xe2\x80\xa2 Report to management regarding the finances of establishment. \xe2\x80\xa2 Establish tables of accounts, and assign entries to proper accounts. Requirements: 2 \xe2\x80\x93 5 years of relevant experience. Male candidate preferred Accounting / Finance degree holder Email your updated resume to our email id \xe2\x80\x93 \xe2\x80\x98recruitment@dreuae.ae\xe2\x80\x99 with a subject line as \xe2\x80\x9cAccountant\xe2\x80\x9d",,,,,,,,,,,
Draftsman – Furniture Works and Exhibition Stands,"Looking for experienced and dedicated Furniture and Exhibition Stand Draftsman in Dubai, United Arab Emirates (UAE)", Construction, Unspecified, 2 - 5 Years, Full Time, Any, Al Quoz 2, Dubai," February 17, 2019 12"," 26 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/draftsman-furniture-works-and-exhibition-stands/,jobs@brainfreezeuae.com
Female PART- TIME HEALTH EDUCATOR \xe2\x80\x93 Dubai,Job Description Female PART- TIME HEALTH EDUCATOR for Dubai, Health Care, Unspecified, 2 - 5 Years, Part Time, Female, Fahidi street, Dubai," February 17, 2019 12"," 26 days, 13 hours",https://buzzon.khaleejtimes.com/classifieds/female-part-time-health-educator-dubai/,gangwani.b@caredirect.com
CARPENTER,"We are looking for a qualified Carpenter to cut, fabricate and install wooden and other structures according to specifications. Your job will demand working in various settings to produce steady and functional infrastructure and products.", Facility Management, Unspecified, 2 - 5 Years, Full Time, Male, bay square, Dubai," February 17, 2019 12"," 26 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/carpenter/,tylozmaintenance@gmail.com
GYPSUM INSTALLER / MASON,"We are looking for a systematic professional with 10+ year\xe2\x80\x99s hands-on experience as a GYPSUM INSTALLER. \xef\x83\x98 Trims rough edges from wallboard to maintain even joints, using knife. \xef\x83\x98 Fits and fastens wallboard or sheetrock into specified position, using hand tools, portable power tools, or adhesive. \xef\x83\x98 Measures and marks cutting lines on framing, drywall, and trim, using tape measure, straightedge or square, and marking devices. \xef\x83\x98 Installs blanket insulation between studs and tacks plastic moisture barrier over insulation. \xef\x83\x98 Removes plaster, drywall, or paneling, using crowbar and hammer. \xef\x83\x98 Assembles and installs metal framing and decorative trim for windows, doorways, and vents. \xef\x83\x98 Reads blueprints and other specifications to determine method of installation, work procedures, and material and tool requirements. \xef\x83\x98 Lays out reference lines and points, computes position of framing and furring channels, and marks position, using chalk line. \xef\x83\x98 Suspends angle iron grid and channel iron from ceiling, using wire. \xef\x83\x98 Installs horizontal and vertical metal or wooden studs for attachment of wallboard on interior walls, using hand tools. \xef\x83\x98 Cuts metal or wood framing, angle and channel iron, and trim to size, using cutting tools.", Facility Management, Unspecified, 2 - 5 Years, Full Time, Male, bay square, Dubai," February 17, 2019 12"," 26 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/gypsum-installer-mason/,tylozmaintenance@gmail.com
Storekeeper,"Job Description Required Storekeeper for a construction company who is having experience in uae in same role in same industry to manage all of the operations in our storeroom. In this position, you\xe2\x80\x99ll play a key role in the proper care and maintenance of our stock, including ordering, receiving, and managing inventory. Duties and Responsibilities: 1.Maintain receipts, records, and withdrawals of the stockroom. 2.Inspect deliveries for damage or discrepancies and report those to accounting for reimbursements and record keeping. 3.Ensure adequate record keeping and manage all documentation to confirm proper stock levels and maintain inventory control. 4.Pass the entries in the software (Preferred worked on ERP software), as and when the transactions occur. Coordination with departments Eligibility Criteria: 2+ years of experience in construction site storekeeping, inventory control, or recordkeeping. Experience in Construction or Real Estate Industry Knowledge of ERP is must Male Candidate Preferred Email your updated CV to recruitment@dreuae.ae with a subject line as \xe2\x80\x98Storekeeper\xe2\x80\x99.", Construction, Unspecified, 2 - 5 Years, Full Time, Male, Shaikh Zayed Road, Dubai," February 17, 2019 11"," 26 days, 12 hours",https://buzzon.khaleejtimes.com/classifieds/storekeeper/,recruitment@dreuae.ae
General Manager – Water Manufacturing Industry,"Job Description Required Storekeeper for a construction company who is having experience in uae in same role in same industry to manage all of the operations in our storeroom. In this position, you\xe2\x80\x99ll play a key role in the proper care and maintenance of our stock, including ordering, receiving, and managing inventory. Duties and Responsibilities: 1.Maintain receipts, records, and withdrawals of the stockroom. 2.Inspect deliveries for damage or discrepancies and report those to accounting for reimbursements and record keeping. 3.Ensure adequate record keeping and manage all documentation to confirm proper stock levels and maintain inventory control. 4.Pass the entries in the software (Preferred worked on ERP software), as and when the transactions occur. Coordination with departments Eligibility Criteria: 2+ years of experience in construction site storekeeping, inventory control, or recordkeeping. Experience in Construction or Real Estate Industry Knowledge of ERP is must Male Candidate Preferred Email your updated CV to recruitment@dreuae.ae with a subject line as \xe2\x80\x98Storekeeper\xe2\x80\x99.",,,,,,,,,,,
Light Duty Driver,"A well established company looking for a LIGHT DUTY DRIVER with valid MANUAL driving license. Free visa, free accommodation & free medical will be provided. Salary will be 1200+300 (1500 Dhs) per month. Interested candidate, please send your cv to info@rafeh.ae", Transportation, AED 1001-1500, 1 - 2 Years, Full Time, Male, M9, Abu Dhabi," February 16, 2019 7"," 23 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/light-duty-driver/,info@rafeh.ae
1 INDUSTRIAL ACCOUNTANT AND 1 RESTAURANT ACCOUNTANT NEEDED URGENTLY,"WE ARE LOOKING FOR 2 ACCOUNTANT, ONE AS AN INDUSTRIAL ACCOUNTANT, ANOTHER ONE FOR ONE OF THE RESTAURANT SITUATED IN DUBAI.", Other, AED 3001-3500, 2 - 5 Years, Full Time, Any," Alnahda 1,Dubai", Dubai," February 16, 2019 7"," 25 days, 22 hours",https://buzzon.khaleejtimes.com/classifieds/1-industrial-accountant-and-1-restaurant-accountant-needed-urgently/,employeeabt2019@gmail.com
Sales Executive for Water Company,Water Company in Dubai is looking for Sales champions to be part of Our team., Food & Packaged Food, Unspecified, Less than 1 Year, Full Time, Male, Dubai, Dubai," February 16, 2019 7"," 23 days, 16 hours",https://buzzon.khaleejtimes.com/classifieds/sales-executive-for-water-company-2/,nhvacancy@gmail.com
Sales and Distribution Manager – Water Manufacturing Industry,ob Responsibility:, Other, Unspecified, 7 - 10 Years, Full Time, Any, Abu Shagara, Sharjah," February 16, 2019 7"," 23 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/sales-and-distribution-manager-water-manufacturing-industry/,jobs.hrd2015@gmail.com
Urgently needed  African 20  Block Masons,Urgent Requirement: looking for Block Masons, Consultancy, AED 1001-1500, 1 - 2 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 16, 2019 6"," 25 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-needed-african-20-block-masons/,leadingaimhr2@gmail.com
ELECTRICAL DRAFTSMAN,A Leading Electromechanical Contracting Company in Dubai requires Electrical Dratfsman. With minimum 5 years\xe2\x80\x99 U.A.E. experience in MEP Contracting Company. Should be with Bachelor Degree in Electrical Engineer and driving license. Candidates meeting the above criteria may send CV with latest photograph, Engineering, Unspecified, 2 - 5 Years, Full Time, Any, Dubai Silicon Oasis, Dubai," February 16, 2019 5"," 25 days, 15 hours",https://buzzon.khaleejtimes.com/classifieds/electrical-draftsman/,dxbhr2105@gmail.com
LOOKING FOR A HR/TELE SALES/MARKETING OFFICE ADMIN,"WE ARE LOOKING FOR A OFFICE ADMIN/HR ASSISTANT/TELE-SALE/ MARKETING PERSON FOR OUR OFFICE LOCATED IN AL NAHDA 1,DUBAI", Consultancy, AED 2001-2500, 2 - 5 Years, Full Time, Female," Al nahda 1,Dubai", Dubai," February 16, 2019 5"," 25 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/looking-for-a-hr-tele-sales-marketing-office-admin/,executiveabt2019@gmail.com
Marketing Manager,"Engineering firm requires a Male Marketing Manager, Indian National having min. 2 years\xe2\x80\x99 experience and excellent knowledge of Microsoft Office. The incumbent will be responsible for international and local sourcing and purchasing, Secretarial functions, Logistics and Administrative tasks. The ideal candidate must be task oriented, have a good moral character; effective communication, good computer skills including the ability to operate spreadsheets and word processing programs, effective verbal, listening and written communication skills in English, whilst being able to adhere to deadlines. Package offered: Decent Salary + Bonus/Incentives + Medical + Annual Air Ticket + Other Benefits as per UAE Labour Law. Send CV & Photograph to: aceauhhr@gmail.com while stating \xe2\x80\x98Marketing Manager\xe2\x80\x99 in the subject", Engineering, AED 4001-5000, 2 - 5 Years, Full Time, Male, MUROOR ROAD, Abu Dhabi," February 16, 2019 5"," 25 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/marketing-manager/,aceauhhr@gmail.com
REQUIREMENT TO MALTA(EUROPE) FOR VARIOUS PROFESSIONAL/CHEFF/OFFSET PRINTING...,WE ARE LOOKING FOR THE FOLLOWING CATEGORY EXPERIENCE PERSON FOR WELL REPUTED ORGANISATION IN MALTA EUROPE, Other, Unspecified, 2 - 5 Years, Full Time, Any," Al nahda 1,Dubai", Dubai," February 16, 2019 5"," 25 days, 19 hours",https://buzzon.khaleejtimes.com/classifieds/requirement-to-maltaeurope-for-various-professional-cheff-offset-printing-helper-sale-assistant-house-keeping-security-guard-brazer-plastic-blow-molder/,europereabt2019@gmail.com
Sales Advisors,REQUIREMENTS: – AT LEAST 1-2 YEARS EXPERIENCE IN SALES AND MARKETING – INSURANCE / INVESTMENT EXPERIENCE WILL BE GIVEN PRIORITY, Insurance, Unspecified, 1 - 2 Years, Full Time, Any, Defense Road, Abu Dhabi," February 16, 2019 3"," 23 days, 16 hours",https://buzzon.khaleejtimes.com/classifieds/sales-advisors/,r.dhar@takafulemarat.com
Sales Promoter – Consumer Electronics & Home Appliances,Urgently seeking to hire sales promoters / merchandisers for a leading consumer electronics & appliances company to work on retail outlets ., Consumer Goods, Unspecified, 2 - 5 Years, Full Time, Male, Naif, Dubai," February 16, 2019 3"," 23 days, 19 hours",https://buzzon.khaleejtimes.com/classifieds/sales-promoter-consumer-electronics-home-appliances/,dxbhr321@gmail.com
Sales executive for Advertising Company,One of the leading Advertising Agency having a Head office in Dubai is currently looking for Sales champions to be part of our growing company. Other Benefits as per UAE LAW will discuss during the interview., Advertising, Unspecified, Less than 1 Year, Full Time, Male, Dubai, Dubai," February 16, 2019 3"," 23 days, 16 hours",https://buzzon.khaleejtimes.com/classifieds/sales-executive-for-advertising-company/,nhvacancy@gmail.com
REQUIRED CHARTERED ACCOUNTANT,Chartered Accountant, Electrical, Unspecified, 5 - 7 Years, Full Time, Any, JLT, Dubai," February 16, 2019 3"," 23 days, 15 hours",https://buzzon.khaleejtimes.com/classifieds/required-chartered-accountant/,radhikaplace1@gmail.com
Warehouse Co-ordinator,Chartered Accountant,,,,,,,,,,,
Bangladeshi Housemaid,Chartered Accountant,,,,,,,,,,,
SALES PERSON FOR HOME MAINTENANCE COMPANY FOR SELLING ANNUAL MAINTENANCE CO...,SALES EXECUTIVE FOR HOME MAINTENANCE COMPANY LOCATED IN DUBAI TO SELL THE ANNUAL CONTRACT FOR HOME MAINTENANCE., Facility Management, AED 5001-7000, 2 - 5 Years, Full Time, Male," Alnahda 1,Dubai", Dubai," February 16, 2019 3"," 25 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/sales-person-for-home-maintenance-company-for-selling-annual-maintenance-contract/,employeeabt2019@gmail.com
SALES EXECUTIVE FOR LEADING ELEVATOR COMPANY NEEDED URGENTLY,SALES EXECUTIVE NEEDED FOR A LEADING ELEVATOR COMPANY LOCATED IN DUBAI., Real Estate, Unspecified, 2 - 5 Years, Full Time, Male," Al Nahda 1,Dubai", Dubai," February 16, 2019 2"," 25 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/sales-executive-for-leading-elevator-company-needed-urgently/,employeeabt2019@gmail.com
ELECTRICIAN,"WE NEED ELECTRICIAN (INDUSTRIAL ) CUM MACHINE OPERATOR , ONLY INDIAN & PAKISTANI NATIONALITY CAN APPLY WHO CAN SPEAK HINDI OR URDU CONT +971555752305", Plastic, AED 1001-1500, 2 - 5 Years, Full Time, Male, ajman, Ajman," February 16, 2019 1"," 24 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/electrician-2/,albarkatplastics786@gmail.com
Marketing Co-ordinator – Arabic Speaker,"We are looking for a candidate with excellent English communication & inter-personal skills.Should have good experience in SEO , designing in Adobe, web analytics,social media.should have experience in B2B Marketing.A degree/Masters in Marketing would be preferred. Previous experience in handling a product is a must like marketing collaterals, marketing plans, creating marketing campaigns,Additional skills like analysis of data from the various marketing techniques would be good.", IT/Computers - Software, Unspecified, 2 - 5 Years, Full Time, Any, Karama, Dubai," February 16, 2019 1"," 24 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/marketing-co-ordinator-arabic-speaker/,recruiter@jvcinternational.com
SALESMAN,"WE NEED SALESMAN ,UAE DRIVING LENIENCE COMPULSORY SORRY FOR KIRLA PERSON , SALARY + COMMISSION PAKISTANI & INDIAN NATIONALITY ONLY CAN APPLY MUST SPEAK HINDI OR URDU", Plastic, AED 1501-2000, 2 - 5 Years, Full Time, Male, ajman, Ajman," February 16, 2019 1"," 24 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/salesman/,albarkatplastics786@gmail.com
Chef/Cook for private villa,"Dear Job seekers,", Other, Unspecified, 1 - 2 Years, Full Time, Male, Al Quoz, Dubai," February 16, 2019 12"," 25 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/chef-cook-for-private-villa/,nikhil@srrbmtllc.ae
We Are Looking For Nepali Female Cleaners,We are looking for Nepali Female Cleaners, Other, Unspecified, 1 - 2 Years, Full Time, Female," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 16, 2019 12"," 23 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/we-are-looking-for-nepali-female-cleaners/,leadingaimhr1@gmail.com
Urgently Required 4 Carpenter,Urgently required 4 Carpenter, Other, Unspecified, 2 - 5 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 16, 2019 12"," 23 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-required-4-carpenter/,leadingaimhr1@gmail.com
SECURITY GUARDS NEEDED IMMEDIATELY TO DUBAI/SHARJAH,SECURITY GUARDS JOB IS AVAILABLE ON IMMEDIATE BASIS, Other, AED 2001-2500, 1 - 2 Years, Full Time, Male," Alnahda 1,Dubai", Dubai," February 14, 2019 9"," 22 days, 23 hours",https://buzzon.khaleejtimes.com/classifieds/security-guards-needed-immediately-to-dubai-sharjah/,sguard2019@gmail.com
5 MALAYALI TOURS AND TRAVEL OPERATIONAL EXECUTIVE IS NEEDED IMMEDIATELY,DUBAI BASED TOURISM COMPANY IS LOOKING FOR TICKETING TRAVEL STAFF DUBAI BASED TOURISM COMPANY IS LOOKING FOR:-, Travel/Tourism, AED 3001-3500, 2 - 5 Years, Full Time, Any," MAI TOWER,AL NAHDA 1,DUBAI", Dubai," February 14, 2019 9", 23 days,https://buzzon.khaleejtimes.com/classifieds/5-malayali-tours-and-travel-operational-executive-is-needed-immediately/,executiveabt2019@gmail.com
NURSES/CARE ASSISTANT REQUIRED FOR OUR PARTNER CHANNELS IN UNITED KINGDOM A...,We are looking for nurses to UK with or with out IELTS immediate requirements., Health Care, AED 10001-15000, 1 - 2 Years, Full Time, Any," Alnahda 1,Dubai", Dubai," February 14, 2019 9"," 22 days, 23 hours",https://buzzon.khaleejtimes.com/classifieds/nurses-care-assistant-required-for-our-partner-channels-in-united-kingdom-and-uae-walk-in-on-15-02friday-16-02saturday/,nursesabt2019@gmail.com
SECRETARY NEEDED URGENTLY FOR A FIRM IN DUBAI IMMEDIATELY EUROPEAN/RUSSIAN/...,LOOKING FOR A SMART LADY AS SECRETARY WHO IS WILLING TO TRAVEL WITH THE MANAGING DIRECTOR AND READY TO ACCEPT NEW CHALLENGES AND READY TO MEET THE CLIENTS ON BEHALF OF THE COMPANY IS NEEDED URGENTLY., Other, AED 3001-3500, 1 - 2 Years, Full Time, Female," Alnahda 1,Dubai", Dubai," February 14, 2019 9", 23 days,https://buzzon.khaleejtimes.com/classifieds/secretary-needed-urgently-for-a-firm-in-dubai-immediately-european-russian-filipino-nationalitywestern/,executiveabt2019@gmail.com
Web Developer,"We are currently seeking talented, reliable, and independent WordPress designer / developer with the intent of providing a long-term position based on performance. You will be completely responsible to manage and bring enhancements in the company website and bring business from the website. You must be able to understand company needs and deliver project deliverable in a timely manner that will exceed our expectations.", Retailing, Unspecified, 1 - 2 Years, Full Time, Any, Rigga, Dubai," February 13, 2019 8"," 22 days, 22 hours",https://buzzon.khaleejtimes.com/classifieds/web-developer/,hr.trade2019@gmail.com
** JOB OPPORTUNITY FOR DOCUMENTATION CENTRE UNIT HEAD – Abu Dhabi (UA...,"We are currently seeking talented, reliable, and independent WordPress designer / developer with the intent of providing a long-term position based on performance. You will be completely responsible to manage and bring enhancements in the company website and bring business from the website. You must be able to understand company needs and deliver project deliverable in a timely manner that will exceed our expectations.",,,,,,,,,,,
GRAPHIC DESIGNER,"Required Female Candidate on Husband sponsor or Father sponsor visa for Graphic Designer Preferred location :Karama Candidates should have knowledge in Corel Draw ,Illustrator and Photoshop.Well knowledge of computer skills with strong personality and Good English communication skills and Arabic typing.", Advertising, AED 2001-2500, 2 - 5 Years, Full Time, Female, karama, Dubai," February 13, 2019 6"," 22 days, 21 hours",https://buzzon.khaleejtimes.com/classifieds/graphic-designer-4/,jobe.hr@yahoo.com
Sales & Marketing Representative,Job Description, Agriculture, Unspecified, 5 - 7 Years, Full Time, Male, Business Bay, Dubai," February 13, 2019 6"," 22 days, 21 hours",https://buzzon.khaleejtimes.com/classifieds/sales-marketing-representative/,hr@delhamgrp.com
"walking in interview post for carpenter,welder,electrician,plumber,cleaner,...",8,,,,,,,,,,,
"walking in interview for carpenter,Ac technician,,mason,painter,plumber,ele...",we are looking spray painter minimum 3 year experience salary -1300-2000 dutty time -8 hours company will provide accommodation and transportation., Construction, AED 1001-1500, 2 - 5 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 13, 2019 6"," 22 days, 21 hours",https://buzzon.khaleejtimes.com/classifieds/walking-in-interview-for-carpenterac-technicianmasonpainterplumberelectriciancleaner-etc/,leadingaimhr1@gmail.com
Salesman,"We are on the look-out for a well-experienced salesman who is willing to work for a well established Medical Company, with at least 2 years of fulltime working experience in the Medical and Cosmetic Industry.", Pharmaceuticals, AED 2501-3000, 2 - 5 Years, Full Time, Male, INTERNATIONAL CITY, Dubai," February 13, 2019 6"," 22 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/salesman-2/,salesjazpharma@gmail.com
Graphic Designer,Urgently seeking for a graphic designer with hard core design experience for a consumer electronics trading company located in UAE ., Consumer Goods, Unspecified, 2 - 5 Years, Full Time, Male, Naif Road, Dubai," February 13, 2019 5"," 22 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/graphic-designer-3/,dxbhr321@gmail.com
Urgent required SALES EXECUTIVE with UAE Experience,"Should have the knowledge of HVAC (GI Duct) sales and marketing, Bachelor Degree is preferable (BBA/MBA), Valid UAE driving license will be preferred", Machinery/Equipment Mfg., Unspecified, 2 - 5 Years, Full Time, Any, 28B, Dubai," February 13, 2019 5"," 22 days, 20 hours",https://buzzon.khaleejtimes.com/classifieds/urgent-required-sales-executive-with-uae-experience/,nazishmemw@gmail.com
URGENTLY REQUIRED PIPE FITTER,A reputed Construction Company in Abu Dhabi urgently required a Pipe Fitter:, Construction, Unspecified, 5 - 7 Years, Full Time, Male, Musafah, Abu Dhabi," February 13, 2019 3"," 22 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-required-pipe-fitter/,gcc.hr2018@gmail.com
Audiologist (Native Arabic Speakers),A reputed Construction Company in Abu Dhabi urgently required a Pipe Fitter:,,,,,,,,,,,
URGENTLY REQUIRED DIESEL MECHANIC,A reputed Construction Company in Abu Dhabi urgently required Diesel Mechanic:, Construction, Unspecified, 5 - 7 Years, Full Time, Male, Musafah, Abu Dhabi," February 13, 2019 2"," 22 days, 16 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-required-diesel-mechanic-2/,gcc.hr2018@gmail.com
SALES EXECUTIVE – CHEMICALS,SALES PERSON WITH QUALIFICATION BSC IN CHEMISTRY, Chemicals, Unspecified, 5 - 7 Years, Full Time, Any, dubai, Dubai," February 13, 2019 2"," 22 days, 15 hours",https://buzzon.khaleejtimes.com/classifieds/sales-executive-chemicals-2/,resume@bdhme.com
DRIVER,IMMEDIATE HIRING – DRIVER WITH OWN VISA, Automobile, AED 2001-2500, 1 - 2 Years, Full Time, Male, RAS AL KHOR, Dubai," February 13, 2019 1"," 22 days, 14 hours",https://buzzon.khaleejtimes.com/classifieds/driver-4/,nevingeorge3@gmail.com
MIni Bus Driver / Light Bus Driver,Mini Bus Driver with License No.5 needed for Employment for an Electrical Construction Company in Dubai., Construction, Unspecified, 2 - 5 Years, Full Time, Male, Al Quoz, Dubai," February 13, 2019 12"," 22 days, 15 hours",https://buzzon.khaleejtimes.com/classifieds/mini-bus-driver-light-bus-driver/,sendworkcvs@gmail.com
URGENTLY REQUIRED – TECHNICAL TRAINING MANAGER,A reputed Construction Company in Abu Dhabi looking for Technical-Training Manager:, Construction, Unspecified, 10 - 15 Years, Full Time, Male, Musafah, Abu Dhabi," February 13, 2019 12"," 22 days, 12 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-required-technical-training-manager/,gcc.hr2018@gmail.com
Corporate Legal Manager – Firm,"The candidate should be based in UAE , Should be a bilingual : Arabic-English. Should have excellent English communication skills both in writing & Oral.Shaould have excellent experience in drafting of legal agreements in Banking / Real Estate/ Joint ventures/ Contracts / Mergers / All Business Deals. Should have worked for not less than 8 years within a large legal firm.While drafting an agreement should have made indepth research & understanding of all the legalities involved in the deals.Please reply with clear subject matter mentioned : Corporate Legal Manager", Consultancy, Unspecified, 10 - 15 Years, Full Time, Any, Karama, Dubai," February 13, 2019 11"," 22 days, 9 hours",https://buzzon.khaleejtimes.com/classifieds/corporate-legal-manager-firm/,recruiter@jvcinternational.com
Driver,"Engineering Firm requires Driver, with min. 2 yrs. experience. Capable of operating assigned light motor vehicle to transport Company personnel, visitors and equipment between various locations as instructed, choosing the most direct and time effective routing to ensure minimum delays are encountered. The right candidate will be offered competitive remuneration package and benefits including incentives, food, accommodation, medical, paid ticket and other benefits as per U.A.E. law.", Engineering, AED 2001-2500, 1 - 2 Years, Full Time, Male, MUROOR ROAD, Abu Dhabi," February 13, 2019 10"," 22 days, 12 hours",https://buzzon.khaleejtimes.com/classifieds/driver/,aceauhhr@gmail.com
Female Sonographer,"We are hiring Female Sonographer (5-6 years experience). Must have expertise in managing individually Breast, General and Obstetrics scan without Radiologist’s assistance. Please send us your CV at hrick@uginc.ae", Hospitals, AED 10001-15000, More than 15 Years, Full Time, Female, Dubai, Dubai," February 13, 2019 10", 22 days,https://buzzon.khaleejtimes.com/classifieds/female-sonographer/,hrick@uginc.ae
Female Radiologist,"We are hiring Female Radiologist with experience in in Breast Imaging, knowledge of Biopsies; with FRCR; should be holding DHA/DHCC/MOH/HAAD License. Must be locally available in UAE. Salary up to AED 50K. Please send us your CV at hrick@uginc.ae", Hospitals, Unspecified, More than 15 Years, Full Time, Female, Dubai, Dubai," February 13, 2019 10", 22 days,https://buzzon.khaleejtimes.com/classifieds/female-radiologist/,hrick@uginc.ae
Urgently Required Graphic Designer,"Urgently Required Graphic Designer , Who know well in Adobe Illustrate, Auto cad , Photo shop", Printing/Packaging, Unspecified, 1 - 2 Years, Full Time, Male, New Ind Area, Ajman," February 12, 2019 7"," 21 days, 21 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-required-graphic-designer/,orientcareers@gmail.com
Nail Technician,"Daily duties include providing nail and hand services to customers, such as basic manicures, artificial nails, gel nails, hand massages, hot-oil therapy, nail fills, nail repair, nail wraps and nail polishing. Pedicures and the application of acrylic toenails may also be performed.", Beauty/Fitness, Unspecified, 1 - 2 Years, Full Time, Female, Umm Alsheif, Dubai," February 12, 2019 7"," 21 days, 21 hours",https://buzzon.khaleejtimes.com/classifieds/nail-technician/,salonhr2019@gmail.com
Urgently Required 10 Security Guards,Urgently required 10 security Guards, Other, AED 1501-2000, 1 - 2 Years, Full Time, Male," Abu Baker Al Siddique road, Speedex bldg", Dubai," February 12, 2019 5"," 21 days, 19 hours",https://buzzon.khaleejtimes.com/classifieds/urgently-required-10-security-guards-2/,leadingaimhr1@gmail.com
HR ASSISTANT CUM PRO,A well reputed company in Dubai is looking for a male candidate for the post of HR Assistant Cum PRO with 2-3 years of experience in the construction industry., Construction, Unspecified, 2 - 5 Years, Full Time, Male, AL NAHDA, Dubai," February 12, 2019 4"," 21 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/hr-assistant-cum-pro/,uaehrjobs2019@gmail.com
Deputy Finance Controller/Finance Head,A well reputed construction company in Dubai is looking for a Deputy Fiance Controller/Finance Head with 7-10 years of experience with MCOM/CA for its Group of Companies in Oman. Must be willing to relocate to Oman. Candidates meets the given requirement may forward their resume to uaehrjobs2019@gmail.com, Construction, Unspecified, 7 - 10 Years, Full Time, Male, AL NAHDA, Dubai," February 12, 2019 3"," 21 days, 18 hours",https://buzzon.khaleejtimes.com/classifieds/deputy-finance-controller-finance-head/,uaehrjobs2019@gmail.com
Architect,Can Join Immediately, Construction, Unspecified, 1 - 2 Years, Full Time, Any, Electra Street, Abu Dhabi," February 12, 2019 3"," 21 days, 17 hours",https://buzzon.khaleejtimes.com/classifieds/architect-9/,hr@goldenlines.ae
** JOB OPPORTUNITY FOR MANUAL TEST ENGINEER – Abu Dhabi (UAE) **,Can Join Immediately,,,,,,,,,,,
** JOB OPPORTUNITY IT PMO SPECIALIST – Abu Dhabi (UAE) **,Can Join Immediately,,,,,,,,,,,
